Constituency,District,Culture,Seat_Polled,SPA_Votes,AIADMK_Votes,TVK_Votes,Others_Votes,SPA_Pct,AIADMK_Pct,TVK_Pct,Others_Pct,Winner,Winning_Votes,Margin_Votes,Margin_Pct
Ambur,Tirupattur,Mixed,182370,61387,53378,29565,38040,33.66,29.27,16.21,20.86,SPA,61387,8009,4.39
Tiruppattur,Tirupattur,Mixed,234647,81013,68679,42795,42160,34.53,29.27,18.24,17.97,SPA,81013,12334,5.26
Anaikattu,Vellore,Mixed,193647,57164,69138,32139,35206,29.52,35.7,16.6,18.18,AIADMK+,69138,11974,6.18
Uthangarai,Krishnagiri,Industrial,196685,47977,57011,60073,31624,24.39,28.99,30.54,16.08,TVK,60073,3062,1.56
Bargur,Krishnagiri,Industrial,199927,55084,59389,55075,30379,27.55,29.71,27.55,15.2,AIADMK+,59389,4305,2.15
Vaniyambadi,Tirupattur,Mixed,206270,69199,59018,37689,40364,33.55,28.61,18.27,19.57,SPA,69199,10181,4.94
Veppanahalli,Krishnagiri,Industrial,205604,49990,74628,39267,41719,24.31,36.3,19.1,20.29,AIADMK+,74628,24638,11.98
Jolarpet,Tirupattur,Mixed,200826,60472,61577,35158,43619,30.11,30.66,17.51,21.72,AIADMK+,61577,1105,0.55
Hosur,Krishnagiri,Industrial,286591,78832,85442,75786,46531,27.51,29.81,26.44,16.24,AIADMK+,85442,6610,2.31
Pennagaram,Dharmapuri,Agrarian,216879,66887,71907,29763,48322,30.84,33.16,13.72,22.28,AIADMK+,71907,5020,2.31
Thalli,Krishnagiri,Industrial,198779,50925,67838,42895,37121,25.62,34.13,21.58,18.67,AIADMK+,67838,16913,8.51
Krishnagiri,Krishnagiri,Industrial,223385,57189,70036,49751,46409,25.6,31.35,22.27,20.78,AIADMK+,70036,12847,5.75
Palacode,Dharmapuri,Agrarian,209641,83020,66613,26568,33440,39.6,31.77,12.67,15.95,SPA,83020,16407,7.83
Harur,Dharmapuri,Agrarian,214328,57718,80732,23374,52504,26.93,37.67,10.91,24.5,AIADMK+,80732,23014,10.74
Chengam,Tiruvannamalai,Mixed,232348,75795,64284,40039,52230,32.62,27.67,17.23,22.48,SPA,75795,11511,4.95
Pappireddippatti,Dharmapuri,Agrarian,223889,71751,73004,27974,51160,32.05,32.61,12.49,22.85,AIADMK+,73004,1253,0.56
Kilpennathur,Tiruvannamalai,Mixed,207985,76922,65116,42669,23278,36.98,31.31,20.52,11.19,SPA,76922,11806,5.68
Dharmapuri,Dharmapuri,Agrarian,227483,61052,63244,37690,65497,26.84,27.8,16.57,28.79,Others,65497,2253,0.99
Kalasapakkam,Tiruvannamalai,Mixed,201088,59718,72033,34357,34980,29.7,35.82,17.09,17.4,AIADMK+,72033,12315,6.12
Arani,Tiruvannamalai,Mixed,220217,58138,64957,48733,48389,26.4,29.5,22.13,21.97,AIADMK+,64957,6819,3.1
Tiruvannamalai,Tiruvannamalai,Mixed,215783,71126,61298,53557,29802,32.96,28.41,24.82,13.81,SPA,71126,9828,4.55
Vandavasi,Tiruvannamalai,Mixed,184337,60060,58198,39038,27041,32.58,31.57,21.18,14.67,SPA,60060,1862,1.01
Gingee,Viluppuram,Mixed,205793,68231,54177,42123,41262,33.16,26.33,20.47,20.05,SPA,68231,14054,6.83
Polur,Tiruvannamalai,Mixed,201909,54374,58628,44865,44042,26.93,29.04,22.22,21.81,AIADMK+,58628,4254,2.11
Vanur,Viluppuram,Mixed,177922,55364,41216,39845,41497,31.12,23.17,22.39,23.32,SPA,55364,13867,7.79
Tindivanam,Viluppuram,Mixed,185930,57185,50887,40738,37120,30.76,27.37,21.91,19.96,SPA,57185,6298,3.39
Cheyyar,Tiruvannamalai,Mixed,207123,65117,61918,40580,39508,31.44,29.89,19.59,19.07,SPA,65117,3199,1.54
Villupuram,Viluppuram,Mixed,208546,73465,63702,38498,32881,35.23,30.55,18.46,15.77,SPA,73465,9763,4.68
Ulundurpettai,Kallakurichi,Mixed,262721,78204,80052,62412,42053,29.77,30.47,23.76,16.01,AIADMK+,80052,1848,0.7
Mailam,Viluppuram,Mixed,177256,54336,48789,41540,32591,30.65,27.52,23.44,18.39,SPA,54336,5547,3.13
Rishivandiyam,Kallakurichi,Mixed,239014,84838,42003,47444,64729,35.49,17.57,19.85,27.08,SPA,84838,20109,8.41
Sankarapuram,Kallakurichi,Mixed,232350,69832,66957,49124,46437,30.05,28.82,21.14,19.99,SPA,69832,2875,1.24
Kallakurichi,Kallakurichi,Mixed,246025,81851,73390,46229,44555,33.27,29.83,18.79,18.11,SPA,81851,8461,3.44
Yercaud,Salem,Industrial,239991,70908,51349,47407,70327,29.55,21.4,19.75,29.3,SPA,70908,581,0.24
Vikravandi,Viluppuram,Mixed,194187,64157,52342,38222,39466,33.04,26.95,19.68,20.32,SPA,64157,11815,6.08
Tirukkoyilur,Kallakurichi,Mixed,212388,66309,47824,47575,50680,31.22,22.52,22.4,23.86,SPA,66309,15629,7.36
Omalur,Salem,Industrial,259115,59056,91965,39748,68346,22.79,35.49,15.34,26.38,AIADMK+,91965,23619,9.12
Mettur,Salem,Industrial,224876,56799,80453,46879,40745,25.26,35.78,20.85,18.12,AIADMK+,80453,23654,10.52
Sankari,Salem,Industrial,229158,59427,71697,56982,41052,25.93,31.29,24.87,17.91,AIADMK+,71697,12270,5.35
Gangavalli,Salem,Industrial,192002,61640,58719,47569,24074,32.1,30.58,24.78,12.54,SPA,61640,2921,1.52
Salem (West),Salem,Industrial,226873,56127,83587,54368,32791,24.74,36.84,23.96,14.45,AIADMK+,83587,27460,12.1
Attur,Salem,Industrial,200667,54698,69350,37318,39301,27.26,34.56,18.6,19.59,AIADMK+,69350,14652,7.3
Salem (South),Salem,Industrial,199519,55570,64729,51402,27818,27.85,32.44,25.76,13.94,AIADMK+,64729,9159,4.59
Veerapandi,Salem,Industrial,220275,53721,72543,45009,49002,24.39,32.93,20.43,22.25,AIADMK+,72543,18822,8.54
Edappadi,Salem,Industrial,243111,48243,118018,33561,43289,19.84,48.54,13.8,17.81,AIADMK+,118018,69775,28.7
Namakkal,Namakkal,Industrial,208290,52442,59850,41967,54031,25.18,28.73,20.15,25.94,AIADMK+,59850,5819,2.79
Senthamangalam,Namakkal,Industrial,200921,49343,68995,39527,43056,24.56,34.34,19.67,21.43,AIADMK+,68995,19652,9.78
Rasipuram,Namakkal,Industrial,194657,47928,92913,27270,26546,24.62,47.73,14.01,13.64,AIADMK+,92913,44985,23.11
Salem (North),Salem,Industrial,209870,68987,64202,42392,34289,32.87,30.59,20.2,16.34,SPA,68987,4785,2.28
Erode (East),Erode,Industrial,158541,42989,46016,32107,37429,27.12,29.02,20.25,23.61,AIADMK+,46016,3027,1.91
Tiruchengodu,Namakkal,Industrial,183098,46857,62328,41454,32459,25.59,34.04,22.64,17.73,AIADMK+,62328,15471,8.45
Erode (West),Erode,Industrial,220915,60363,63500,61381,35671,27.32,28.74,27.78,16.15,AIADMK+,63500,2119,0.96
Dharapuram,Tiruppur,Industrial,188252,52186,73209,38832,24025,27.72,38.89,20.63,12.76,AIADMK+,73209,21023,11.17
Kangayam,Tiruppur,Industrial,185840,52780,81095,30853,21112,28.4,43.64,16.6,11.36,AIADMK+,81095,28315,15.24
Paramathi Velur,Namakkal,Industrial,179656,56899,55514,36821,30422,31.67,30.9,20.5,16.93,SPA,56899,1385,0.77
Kumarapalayam,Namakkal,Industrial,192713,46589,58370,46517,41237,24.18,30.29,24.14,21.4,AIADMK+,58370,11781,6.11
Bhavani,Erode,Industrial,197059,61851,62736,40061,32411,31.39,31.84,20.33,16.45,AIADMK+,62736,885,0.45
Anthiyur,Erode,Industrial,183085,50105,51694,42181,39105,27.37,28.23,23.04,21.36,AIADMK+,51694,1589,0.87
Gobichettipalayam,Erode,Industrial,211205,50902,73697,54102,32504,24.1,34.89,25.62,15.39,AIADMK+,73697,19595,9.28
Modakkurichi,Erode,Industrial,183347,47247,51226,58386,26488,25.77,27.94,31.84,14.45,TVK,58386,7160,3.91
Udhagamandalam,Nilgiris,Mixed,151375,48684,42010,38745,21936,32.16,27.75,25.6,14.49,SPA,48684,6674,4.41
Gudalur,Nilgiris,Mixed,148640,56776,41874,27061,22929,38.2,28.17,18.21,15.43,SPA,56776,14902,10.03
Avanashi,Tiruppur,Industrial,214458,70916,71775,34993,36774,33.07,33.47,16.32,17.15,AIADMK+,71775,859,0.4
Mettupalayam,Coimbatore,Industrial,242583,67455,84428,59398,31302,27.81,34.8,24.49,12.9,AIADMK+,84428,16973,7.0
Perundurai,Erode,Industrial,189355,56279,52492,48503,32081,29.72,27.72,25.61,16.94,SPA,56279,3787,2.0
Tiruppur (South),Tiruppur,Industrial,166790,44252,54383,49526,18629,26.53,32.61,29.69,11.17,AIADMK+,54383,4857,2.91
Palladam,Tiruppur,Industrial,279233,73459,94854,42791,68129,26.31,33.97,15.32,24.4,AIADMK+,94854,21395,7.66
Bhavanisagar,Erode,Industrial,209828,53739,64867,42855,48367,25.61,30.91,20.42,23.05,AIADMK+,64867,11128,5.3
Kavundampalayam,Coimbatore,Industrial,362965,104962,93426,91799,72778,28.92,25.74,25.29,20.05,SPA,104962,11536,3.18
Coonoor,Nilgiris,Mixed,142521,45880,39254,37964,19423,32.19,27.54,26.64,13.63,SPA,45880,6626,4.65
Coimbatore (North),Coimbatore,Industrial,255296,69629,74203,55276,56188,27.27,29.07,21.65,22.01,AIADMK+,74203,4574,1.79
Coimbatore (South),Coimbatore,Industrial,162359,46916,48377,33436,33630,28.9,29.8,20.59,20.71,AIADMK+,48377,1461,0.9
Tiruppur (North),Tiruppur,Industrial,267366,79064,71114,63884,53304,29.57,26.6,23.89,19.94,SPA,79064,7950,2.97
Singanallur,Coimbatore,Industrial,232050,47736,72548,56362,55404,20.57,31.26,24.29,23.88,AIADMK+,72548,16186,6.98
Pollachi,Coimbatore,Industrial,175342,38290,58258,36682,42112,21.84,33.23,20.92,24.02,AIADMK+,58258,16146,9.21
Sulur,Coimbatore,Industrial,264463,82103,80598,62327,39435,31.05,30.48,23.57,14.91,SPA,82103,1505,0.57
Madathukulam,Tiruppur,Industrial,181822,54930,56473,35289,35130,30.21,31.06,19.41,19.32,AIADMK+,56473,1543,0.85
Palani,Dindigul,Agrarian,206950,58004,66810,42236,39900,28.03,32.28,20.41,19.28,AIADMK+,66810,8806,4.26
Thondamuthur,Coimbatore,Industrial,252165,62338,94448,54516,40863,24.72,37.45,21.62,16.2,AIADMK+,94448,32110,12.73
Valparai,Coimbatore,Industrial,149223,50557,40865,27402,30399,33.88,27.39,18.36,20.37,SPA,50557,9692,6.49
Athoor,Dindigul,Agrarian,225993,78521,55388,36093,55991,34.74,24.51,15.97,24.78,SPA,78521,22530,9.97
Nilakottai,Dindigul,Agrarian,190795,54933,52215,28120,55527,28.79,27.37,14.74,29.1,Others,55527,594,0.31
Kinathukadavu,Coimbatore,Industrial,262975,72097,90574,50176,50128,27.42,34.44,19.08,19.06,AIADMK+,90574,18477,7.03
Dindigul,Dindigul,Agrarian,208786,59694,68561,31395,49136,28.59,32.84,15.04,23.53,AIADMK+,68561,8867,4.25
Vedasandur,Dindigul,Agrarian,210388,63525,69545,30963,46355,30.19,33.06,14.72,22.03,AIADMK+,69545,6020,2.86
Udumalaipettai,Tiruppur,Industrial,195496,52534,68652,39753,34557,26.87,35.12,20.33,17.68,AIADMK+,68652,16118,8.24
Krishnarayapuram,Karur,Mixed,166017,54980,54301,34435,22301,33.12,32.71,20.74,13.43,SPA,54980,679,0.41
Kulithalai,Karur,Mixed,182537,49806,51931,34624,46176,27.29,28.45,18.97,25.3,AIADMK+,51931,2125,1.16
Oddanchatram,Dindigul,Agrarian,190068,62155,54556,22669,50688,32.7,28.7,11.93,26.67,SPA,62155,7599,4.0
Natham,Dindigul,Agrarian,225383,76534,81681,24037,43131,33.96,36.24,10.66,19.14,AIADMK+,81681,5147,2.28
Manapaarai,Tiruchirappalli,Mixed,228476,69017,74159,46728,38572,30.21,32.46,20.45,16.88,AIADMK+,74159,5142,2.25
Srirangam,Tiruchirappalli,Mixed,244694,66062,75032,51647,51953,27.0,30.66,21.11,21.23,AIADMK+,75032,8970,3.67
Aravakurichi,Karur,Mixed,159899,46091,43588,35207,35013,28.83,27.26,22.02,21.9,SPA,46091,2503,1.57
Tiruchirappalli (West),Tiruchirappalli,Mixed,203661,61660,70315,44023,27663,30.28,34.53,21.62,13.58,AIADMK+,70315,8655,4.25
Karur,Karur,Mixed,188116,55857,54802,42149,35308,29.69,29.13,22.41,18.77,SPA,55857,1055,0.56
Thiruverumbur,Tiruchirappalli,Mixed,221252,58746,73350,62252,26904,26.55,33.15,28.14,12.16,AIADMK+,73350,11098,5.02
Manachanallur,Tiruchirappalli,Mixed,201592,68936,58533,34093,40030,34.2,29.04,16.91,19.86,SPA,68936,10403,5.16
Musiri,Tiruchirappalli,Mixed,182437,56824,61336,32622,31655,31.15,33.62,17.88,17.35,AIADMK+,61336,4512,2.47
Perambalur,Perambalur,Mixed,244609,83640,61442,41102,58425,34.19,25.12,16.8,23.89,SPA,83640,22198,9.07
Tiruchirappalli (East),Tiruchirappalli,Mixed,187704,62590,34779,62958,27377,33.35,18.53,33.54,14.59,TVK,62958,368,0.2
Kunnam,Perambalur,Mixed,225642,69341,66753,43681,45867,30.73,29.58,19.36,20.33,SPA,69341,2588,1.15
Lalgudi,Tiruchirappalli,Mixed,180851,49517,53880,35770,41684,27.38,29.79,19.78,23.05,AIADMK+,53880,4363,2.41
Tittakudi,Cuddalore,Mixed,179069,52951,48403,31948,45767,29.57,27.03,17.84,25.56,SPA,52951,4548,2.54
Jayankondam,Ariyalur,Mixed,232064,68984,62156,50716,50208,29.73,26.78,21.85,21.64,SPA,68984,6828,2.94
Thuraiyur,Tiruchirappalli,Mixed,179577,44411,53379,41337,40450,24.73,29.72,23.02,22.53,AIADMK+,53379,8968,4.99
Neyveli,Cuddalore,Mixed,163875,44346,39162,40609,39758,27.06,23.9,24.78,24.26,SPA,44346,3737,2.28
Kurinjipadi,Cuddalore,Mixed,204101,70710,65855,29696,37840,34.64,32.27,14.55,18.54,SPA,70710,4855,2.38
Panruti,Cuddalore,Mixed,207182,70253,61188,38176,37565,33.91,29.53,18.43,18.13,SPA,70253,9065,4.38
Bhuvanagiri,Cuddalore,Mixed,199883,57204,50432,39908,52339,28.62,25.23,19.97,26.18,SPA,57204,4865,2.43
Ariyalur,Ariyalur,Mixed,231619,82876,67726,36252,44765,35.78,29.24,15.65,19.33,SPA,82876,15150,6.54
Sirkazhi,Mayiladuthurai,Mixed,196496,58662,49786,35515,52533,29.85,25.34,18.07,26.73,SPA,58662,6129,3.12
Virudhachalam,Cuddalore,Mixed,206324,51176,64504,46318,44326,24.8,31.26,22.45,21.48,AIADMK+,64504,13328,6.46
Kattumannarkoil,Cuddalore,Mixed,193940,57868,70015,34275,31782,29.84,36.1,17.67,16.39,AIADMK+,70015,12147,6.26
Cuddalore,Cuddalore,Mixed,191230,56229,53757,34562,46682,29.4,28.11,18.07,24.41,SPA,56229,2472,1.29
Poompuhar,Mayiladuthurai,Mixed,211082,89424,64988,36498,20172,42.36,30.79,17.29,9.56,SPA,89424,24436,11.58
Nagapattinam,Nagapattinam,Delta,146573,59051,29644,18144,39734,40.29,20.22,12.38,27.11,SPA,59051,19317,13.18
Kilvelur,Nagapattinam,Delta,143094,54958,45833,19093,23210,38.41,32.03,13.34,16.22,SPA,54958,9125,6.38
Thiruthuraipoondi,Thiruvarur,Delta,200019,66768,45675,32030,55546,33.38,22.84,16.01,27.77,SPA,66768,11222,5.61
Chidambaram,Cuddalore,Mixed,198144,58969,58862,36417,43896,29.76,29.71,18.38,22.15,SPA,58969,107,0.05
Mayiladuthurai,Mayiladuthurai,Mixed,190949,62773,65968,37268,24940,32.87,34.55,19.52,13.06,AIADMK+,65968,3195,1.67
Thiruvarur,Thiruvarur,Delta,229276,71353,56239,38154,63530,31.12,24.53,16.64,27.71,SPA,71353,7823,3.41
Thiruvidaimarudur,Thanjavur,Delta,223401,84519,63941,26348,48593,37.83,28.62,11.79,21.75,SPA,84519,20578,9.21
Kumbakonam,Thanjavur,Delta,221123,74098,76975,37871,32179,33.51,34.81,17.13,14.55,AIADMK+,76975,2877,1.3
Vedaranyam,Nagapattinam,Delta,157279,57924,43914,29790,25651,36.83,27.92,18.94,16.31,SPA,57924,14010,8.91
Thiruvaiyaru,Thanjavur,Delta,224651,79587,67726,26772,50566,35.43,30.15,11.92,22.51,SPA,79587,11861,5.28
Orathanadu,Thanjavur,Delta,203049,60534,59028,23423,60064,29.81,29.07,11.54,29.58,SPA,60534,470,0.23
Papanasam,Thanjavur,Delta,223034,85467,69903,43692,23972,38.32,31.34,19.59,10.75,SPA,85467,15564,6.98
Mannargudi,Thiruvarur,Delta,206698,61287,56948,34642,53821,29.65,27.55,16.76,26.04,SPA,61287,4339,2.1
Nannilam,Thiruvarur,Delta,235813,89029,64301,30346,52137,37.75,27.27,12.87,22.11,SPA,89029,24728,10.49
Peravurani,Thanjavur,Delta,185988,57024,74835,31618,22511,30.66,40.24,17.0,12.1,AIADMK+,74835,17811,9.58
Gandarvakottai,Pudukkottai,Mixed,165783,58591,48814,30382,27996,35.34,29.44,18.33,16.89,SPA,58591,9777,5.9
Pudukkottai,Pudukkottai,Mixed,191097,52390,62559,34393,41755,27.42,32.74,18.0,21.85,AIADMK+,62559,10169,5.32
Thanjavur,Thanjavur,Delta,219681,81816,69567,37404,30894,37.24,31.67,17.03,14.06,SPA,81816,12249,5.58
Thirumayam,Pudukkottai,Mixed,186554,42338,42652,50587,50977,22.69,22.86,27.12,27.33,Others,50977,390,0.21
Aranthangi,Pudukkottai,Mixed,194356,56096,58097,30486,49677,28.86,29.89,15.69,25.56,AIADMK+,58097,2001,1.03
Karaikudi,Sivaganga,Mixed,254905,80716,84221,60402,29566,31.67,33.04,23.7,11.6,AIADMK+,84221,3505,1.38
Pattukkottai,Thanjavur,Delta,210765,72132,63810,31718,43105,34.22,30.28,15.05,20.45,SPA,72132,8322,3.95
Sivaganga,Sivaganga,Mixed,231725,74491,79094,47097,31043,32.15,34.13,20.32,13.4,AIADMK+,79094,4603,1.99
Viralimalai,Pudukkottai,Mixed,190367,61145,48855,41522,38845,32.12,25.66,21.81,20.41,SPA,61145,12290,6.46
Melur,Madurai,Southern,192161,49183,68714,38222,36042,25.59,35.76,19.89,18.76,AIADMK+,68714,19531,10.16
Alangudi,Pudukkottai,Mixed,179365,66183,40583,34867,37732,36.9,22.63,19.44,21.04,SPA,66183,25600,14.27
Manamadurai,Sivaganga,Mixed,216118,59997,71407,44030,40684,27.76,33.04,20.37,18.82,AIADMK+,71407,11410,5.28
Sholavandan,Madurai,Southern,179582,66427,58252,35186,19717,36.99,32.44,19.59,10.98,SPA,66427,8175,4.55
Tiruppattur,Sivaganga,Mixed,229878,80990,72542,36496,39850,35.23,31.56,15.88,17.34,SPA,80990,8448,3.67
Madurai South,Madurai,Southern,150413,48528,45329,33874,22682,32.26,30.14,22.52,15.08,SPA,48528,3199,2.13
Madurai West,Madurai,Southern,230394,70551,73079,59576,27188,30.62,31.72,25.86,11.8,AIADMK+,73079,2528,1.1
Thiruparankundram,Madurai,Southern,260408,85583,75466,64395,34964,32.86,28.98,24.73,13.43,SPA,85583,10117,3.89
Periyakulam,Theni,Mixed,227748,120742,43265,20476,43265,53.02,19.0,8.99,19.0,SPA,120742,77477,34.02
